n01797886_8416,n01807496_6388
n02090721_4540,n02113186_8593
n02113624_4490,n02113712_3176
n07579787_17228,n07693725_11079
n02268443_709,n02268853_111
n02102318_10390,n02102480_11266
n02114367_37125,n02115641_7387
n01514668_14541,n01514859_1930
n02107574_4432,n02108000_4948
n07714990_5881,n07718747_8109
n02395406_5839,n02396427_3401
n01755581_6583,n01756291_8139
n02113023_14314,n02113186_12044
n12144580_11770,n13133613_20494
n02017213_3987,n02018207_11181
n02226429_6333,n02229544_3577
n03773504_8730,n04008634_22100
n02128385_334,n02128757_314
n02804414_7334,n03125729_8604
n01978287_4073,n01981276_6223
n01740131_21347,n01755581_25667
n02788148_1879,n03065424_1725
n03063689_10993,n04332243_11967
n03782006_7522,n04152593_29387
n03710637_1046,n03710721_2295
n03417042_2293,n04461696_4789
n02749479_9377,n04090263_17711
n02799071_4349,n04376876_4006
n03782006_6445,n04152593_27895
n01630670_2587,n01632458_2215
n03529860_11005,n04009552_13396
n02092002_5504,n02092002_5557
n03110669_61854,n03394916_28461
n01629819_12182,n01630670_6606
n01872401_7186,n02346627_7871
n02497673_908,n02500267_698
n01797886_15254,n01807496_12595
n01753488_10064,n01756291_16083
n04270147_2929,n04597913_1818
n02088632_4334,n02088632_4584
n01773157_1499,n01773797_4797
n04596742_19678,n07590611_3469
n01797886_10226,n01807496_17854
n03773504_12829,n04008634_25256
n03908618_7353,n04116512_2674
n03782006_22832,n04152593_51519
n02107574_5192,n02107908_10691,n02108000_5861
n01797886_1096,n01807496_937
n01797886_9395,n01807496_7860
n02951358_13017,n04371430_8042
n03908618_8424,n04118776_26940
n02412080_691,n02415577_835
n03773504_613,n04008634_15827
n01742172_4730,n01748264_17440
n01685808_266,n01689811_7544
n02492035_5662,n02493509_2904
n02107908_8632,n02108000_4000
n03710637_405,n03710721_943
n03710637_10011,n03710721_20723
n03710637_2674,n03710721_5708
n01689811_5650,n01740131_9548
n03773504_16269,n04008634_16304
n02105855_7334,n02106030_7333
n02978881_12002,n02979186_9118
n02094114_1020,n02094258_880
n02422699_7607,n02423022_6531
n04049303_9812,n04208210_48086
n01773797_3591,n04275548_7638
n02483362_2849,n02483708_1018
n02096585_4354,n02108915_4586
n03063599_2696,n07930864_13756
n03782006_25577,n04152593_55173
n02988304_13690,n04392985_9037
n03290653_17611,n03529860_13852
n02395406_12235,n02396427_7183
n03642806_21730,n03832673_3793
n01728572_11335,n01729322_15275
n03110669_91197,n04487394_20849
n03710637_8029,n03710721_17129
n04270147_8159,n07836838_12397
n03782006_128,n04152593_18911
n01728572_17398,n01740131_14039
n01773157_7444,n01773797_7808
n02110958_6029,n04557648_9727
n02006656_8010,n02012849_9776
n02088094_12733,n02090622_209
n02116738_7299,n02117135_12774
n02486261_12043,n02493509_9684
n03710637_6809,n03710721_14415
n01728920_1650,n01729322_11903
n03710637_217,n03710721_529
n02088094_765,n02091831_738
n03017168_67672,n03447721_50929
n03782006_11450,n04152593_35061
n01682714_3314,n01693334_14104
n03782006_2158,n04152593_21772
n01630670_5432,n01631663_6720
n02111889_8654,n02114548_6801
n01797886_8812,n01807496_7368
n02978881_6000,n02979186_13950
n03424325_4927,n03724870_30020
n01871265_4389,n02504013_5910
n02128385_15463,n02128925_31735
n02002556_2261,n02002724_545
n03773504_425,n04008634_15684
n01797886_6404,n01807496_5396
n03085013_23672,n03793489_9919,n04004767_12857
n02128385_1857,n02128757_1812
n01753488_887,n01756291_18700
n03710637_2780,n03710721_5976
n02443114_13512,n02443484_11894
n03908618_1970,n04116512_2718
n01753488_9346,n01756291_14840
n02097047_307,n02097209_206
n02087394_26224,n02094114_8137
n02895154_47468,n03146219_28002
n02105251_493,n02112350_534
n02669723_2359,n03787032_2305
n02749479_2144,n03763968_1458
n03782006_4139,n04152593_24633
n03691459_57813,n04041544_40647
n02093256_7422,n02093428_10156
n02412080_11379,n02415577_14245
n02090721_3488,n02092002_3808
n01740131_11173,n01755581_25271
n02412080_1430,n02415577_1721
n01755581_1099,n01756291_1462
n03461385_16400,n07720875_8276
n02979186_11447,n04392985_8355
n03887697_8641,n15075141_25973
n02808440_6436,n04493381_3883
n03690938_8006,n04357314_12148
n01728572_3683,n01728920_3340
n02412080_19613,n02415577_24535
n02395406_13025,n02396427_7664
n02101556_6218,n02102318_12674,n02102480_8439
n01914609_84,n02607072_3489
n07753275_4243,n07753592_3193
n01773157_1706,n01773797_1744
n02094258_6914,n02096294_4462
n02808440_5701,n04493381_3428
n03710637_12968,n03710721_25769
n02097047_4786,n02097209_2921
n02795169_79361,n04049303_10643
n03773504_1,n04008634_1
n02119789_7070,n02120079_14986
n02086079_16750,n02098413_2202
n02895154_25941,n03000247_2232
n01729977_16048,n01737021_10925
n04591713_7690,n07892512_41369
n02979186_21934,n04392985_12457
n01514668_13268,n01514859_181
n03637318_12217,n04380533_5974
n01753488_4367,n01756291_6933
n03773504_23995,n04008634_22657
n02979186_13053,n04392985_9087
n02395406_97230,n02396427_51334
n02669723_3147,n03787032_3056
n02979186_15862,n04392985_9684
n01770081_3131,n01773549_1147
n01682714_11295,n01693334_22308
n01806567_14384,n01807496_14282
n02497673_4241,n02500267_3294
n01797886_15438,n01798484_6419
n02895154_12292,n03146219_21721
n03259280_6666,n04596742_29632
n02672831_26205,n03249569_48404
n03527444_1687,n04141327_1054
n02097130_688,n02097209_2507
n02790996_15874,n03255030_14556
n03710637_1708,n03710721_3744
n02137549_2123,n02138441_734
n02128385_12873,n02128757_13349
n02395406_35236,n02396427_20961
n02979186_4754,n04392985_3499
n02441942_20170,n02443114_598
n01753488_4138,n01756291_6539
n02403003_3996,n03868242_3445
n02395406_13660,n02396427_8028
n02395406_20894,n02396427_12282
n02966687_1416,n06596364_2606
n01630670_2355,n01632458_2000
n01753488_9764,n01756291_15524
n03792972_5459,n04613696_1296
n02093428_18396,n03803284_279
n03710637_3454,n03710721_7396
n02104365_4865,n02113023_7364
n02395406_9792,n02396427_17224
n03345487_2155,n04461696_2456
n03710637_12931,n03710721_25714
n02086646_835,n02102318_4994
n02107908_10208,n02108000_5444
n02412080_5067,n02415577_6257
n02107574_2571,n02107683_5632
n01773157_1760,n01773797_1816
n01667114_3952,n01669191_7959
n02102973_1615,n02102973_1714
n03976657_3217,n04067472_2341
n02325366_5308,n02326432_6724
n02100877_6789,n02102318_13116
n03126707_19019,n03532672_35804
n01729977_3357,n01749939_1013
n02119789_1939,n02120505_3120
n03724870_7096,n04229816_274
n02112706_1882,n02112706_2070
n02097298_9605,n02098286_3741
n01514668_17020,n01514859_4756
n02009912_9478,n02012849_9374
n02113624_1804,n02113712_1252
n02107574_3621,n02107908_8631,n02108000_3997
n03782006_13178,n04152593_37664
n01914609_8352,n02607072_2005
n02094114_2079,n02094258_1719
n02877765_7365,n03983396_9521
n02165456_5957,n02169497_1250
n02093256_625,n02093428_803
n02895154_31090,n03146219_15340
n02114367_1823,n02114548_1309
n03782006_6573,n04152593_28060
n01728920_14,n01737021_18
n04591713_17535,n07892512_19855
n01753488_511,n01756291_12505
n03534580_164,n03866082_257
n01685808_6044,n01689811_573
n03259280_4055,n04596742_24217
n02112137_3379,n02509815_6019
n03967562_7253,n04252225_6899
n03782006_7676,n04152593_3648
n02099267_4721,n02099429_4669
n03724870_15551,n04229816_5330
n01978287_3384,n01981276_5563
n01682714_2730,n01693334_2415
n02119022_29062,n02119789_16108
n02002556_1976,n02002724_1459
n12144580_14188,n13133613_24719
n01665541_27356,n01667778_12200
n02097047_7170,n02097209_5042
n04264628_3028,n04505470_1440
n01753488_7741,n01756291_12192
n02106030_28276,n02106166_22418
n03710721_4566,n04355933_2212
n02669723_3909,n03787032_3802
n03063599_4314,n07930864_6679
n01682714_2446,n01693334_2185
n02791124_9757,n02791270_27139
n02749479_1359,n04090263_25535
n03773504_11685,n04008634_11681
n03710637_8377,n03710721_6274
n03017168_2914,n03447721_1644
n02422699_1868,n02423022_1602
n02974003_5535,n03208938_2769
n02105251_3675,n02107908_1882
n03710637_1183,n03710721_2562
n03908714_915,n04127249_1380
n04270147_9518,n04597913_5626
n01729322_16033,n01753488_10993
n02895154_24885,n03146219_11237
n03017168_29333,n03447721_17058
n01797886_15507,n01807496_12801
n01797886_6388,n01807496_5382
n01667114_1378,n01667778_3515
n02412080_359,n02415577_434
n02492035_1411,n02493793_4569
n03630383_3530,n04317175_4870
n03710637_975,n03710721_2140
n02095889_3354,n02095889_6458
n03773504_29518,n04008634_27016
n02395406_7062,n02396427_4094
n03773504_21879,n04008634_20912
n02107574_5859,n02107908_11516,n02108000_6648
n01753488_9851,n01756291_15669
n01630670_1200,n01631663_1470
n03642806_7334,n03832673_14308
n01753488_7468,n01756291_11780
n03710637_9030,n03710721_700
n02123159_5696,n02129604_14687
n01797886_12666,n01807496_10523
n04560804_4376,n04579145_495
n03710637_4389,n03710721_2131
n02412080_256,n02415577_307
n02096051_7722,n02096177_10880
n02087394_12539,n02089973_2860
n02105855_15159,n02106030_14892
n02123045_6283,n02123597_6904
n02704792_20747,n04389033_37507
n01753488_10755,n01756291_17184
n02441942_24340,n02442845_2442
n02979186_9758,n04392985_14433
n03866082_474,n04325704_1008
n01729977_7051,n01739381_2313
n12144580_64,n13133613_101
n04447861_5894,n15075141_18134
n01797886_5823,n01806567_4963,n01807496_4897
n02895154_21631,n03146219_1088
n02808440_4617,n04493381_2792
n01797886_10895,n01807496_9052
n02107908_10542,n02108000_5722
n02422699_1707,n02423022_1489
n01729977_9971,n01749939_132
n03642806_18663,n03832673_7231
n02094114_641,n02094258_590
n03259280_5897,n03400231_19567
n03527444_3497,n04141327_2288
n02115913_2925,n02120505_8719
n03980874_4412,n04525038_5239
n02107574_4492,n02107908_9789,n02108000_5023
n03773504_4432,n04008634_4244
n04277352_2548,n04599235_21308
n07747607_16852,n07753592_11999
n02395406_8292,n02396427_4873
n07920052_12443,n07930864_21693
n03933933_21953,n04366367_27742
n02484975_4192,n02486261_20349
n12144580_11662,n13133613_20327
n02395406_9081,n02396427_5291
n01753488_3299,n01756291_5251
n03782006_15110,n04152593_40560
n02097474_4066,n02108551_2931
n01630670_1122,n01631663_1414
n01740131_10648,n01753488_10945
n02088238_623,n02111277_643
n02669723_6675,n03787032_6314
n01753488_3677,n01756291_5844
n02107908_10748,n02108000_5902
n03017168_62441,n03447721_2214
n02979186_14047,n04392985_3453
n01773157_8740,n01773797_9106
n03534580_5470,n03866082_2309
n13044778_2728,n13052670_3430
n01682714_9905,n01693334_8608
n02484975_7201,n02486261_2513
n02412080_7504,n02415577_4303
n02395406_63570,n02396427_35636
n01871265_6548,n02504013_8801
n02094258_3123,n02095889_5383
n02119022_15018,n02120505_13211
n02441942_10178,n02443114_19074
n01797886_11526,n01807496_6767
n03250847_9911,n03720891_12193
n02672831_4292,n04536866_39332
n01871265_7008,n02504013_9463
n03017168_6275,n03447721_3580
n01729322_12247,n01753488_10860
n02093256_12559,n02093428_17018
n02002556_1336,n02002724_1008
n04263257_1886,n04560804_2756
n01914609_13977,n02317335_22091
n02492035_1437,n02493509_665
n02769748_23898,n03709823_6207
n03782006_13586,n04152593_38255
n02114855_11821,n02444819_5844
n03372029_47277,n03884397_15472
n02089867_6107,n02089973_8559
n12144580_20213,n13133613_1269
n02107908_12062,n02108000_7184
n03085013_20590,n03832673_26117
n01682714_5931,n01693334_5132
n02441942_5740,n02443114_7726
n02093256_943,n02093428_1238
n02979186_16764,n02988304_12186
n03179701_2618,n03337140_4248
n02395406_6785,n02396427_3911
n03710637_5496,n03710721_26943
n02088094_6511,n02090622_4890
n02107908_8638,n02108000_4005
n02093256_90,n02093428_115
n01753488_3642,n01756291_5779
n03637318_6360,n04380533_3071
n02119022_3166,n02120505_2807
n02101556_840,n02102480_435
n03782006_7481,n04152593_29342
n03764736_8282,n04493381_20002
n03782006_29473,n04152593_60409
n02412080_4055,n02415577_4992
n01773157_2610,n01773797_2760
n02107908_10292,n02108000_5512
n01797886_10902,n01807496_18094
n03085013_21890,n03793489_6356
n03710637_7072,n03710721_14977
n03207941_15123,n04070727_30785
n01797886_14913,n01807496_9088
n02795169_70702,n04049303_9930
n02268443_6780,n02268853_1133
n01729977_1714,n01739381_171
n02895154_10715,n03146219_4929
n01630670_5642,n01631663_6990
n02769748_23828,n03709823_6184
n02002556_6230,n02002724_1044
n03124043_1922,n03124170_13618
n02167151_5750,n02168699_4634
n02808440_11804,n04493381_9283
n07734744_6735,n12998815_825
n02395406_38055,n02396427_16395
n02119789_10282,n02120505_16611
n03782006_1592,n04152593_20960
n01753488_5162,n01756291_8165
n02113023_6203,n02113186_5258
n01753488_9225,n01756291_14642
n02090721_5425,n02092002_5845
n02979186_615,n04041544_1794
n02493509_3735,n02494079_3672
n02093647_5022,n02102973_6037
n04009552_17023,n04286575_38183
n01917289_1961,n09256479_11318
n02395406_61332,n02396427_34587
n03085013_21807,n03793489_6159
n02403003_443,n03868242_6825
n01728572_19125,n01729322_17884
n02786058_401,n04317175_489
n02093256_11949,n02093428_16266,n02105412_6547
n01740131_13536,n01756291_15783
n01682714_2862,n01693334_2526
n01753488_11017,n01756291_18195
n02105505_134,n02111277_361
n03773504_4002,n04008634_3833
n02107574_3376,n02108000_3733
n02090622_10589,n02091831_13794
n02747177_28646,n03141823_7595
n02093991_3071,n02098105_2654
n02992529_24368,n03777754_7247
n02672831_13169,n02787622_6953
n02441942_22610,n02443114_1598
n02490219_754,n02493509_13922
n01629819_6202,n01630670_8551
n03017168_67771,n03447721_50977
n02504013_3133,n02504458_3634
n03724870_20819,n04229816_193
n04039381_21175,n04409515_10050
n03782006_10845,n04152593_34122
n03249569_35162,n03250847_18163
n02395406_1265,n02396427_15256
n02422106_2285,n02422699_5724,n02423022_5001
n02096437_1582,n02098286_2387
n01755581_12855,n01756291_15875
n02006656_28226,n02009229_18877
n02115913_5588,n02443114_12040
n01796340_485,n01797886_761,n01807496_648
n02749479_6315,n03763968_209
n02965783_2572,n04275548_4442
n03297495_7400,n04442312_22501
n12144580_4422,n13133613_7384
n04296562_40514,n04418357_18152
n02356798_3257,n02361337_4930
n03773504_11496,n04008634_24205
n02109961_17698,n02110185_12311
n02114367_6983,n02114855_7496
n02395406_26659,n02396427_5702
n01773549_4599,n01774384_18438
n03770439_1254,n03982430_20797
n02165456_13631,n02169497_2865
n02097130_5859,n02097209_818
n03017168_15719,n03447721_3032
n02395406_11080,n02396427_6529
n01797886_6752,n01807496_5690
n01797886_9157,n01807496_7657
n03633091_14581,n04263257_3852
n01630670_6150,n01631663_8000
n02988304_29102,n04392985_19158
n03876231_11483,n04277352_8801
n02999410_3265,n03017168_50788
n01797886_2853,n01807496_2433
n02791124_13720,n02791270_38455
n03710637_4536,n03710721_9627
n01797886_17186,n01807496_11150
n02441942_2996,n02444819_3008
n02443114_5456,n02443484_4785
n02090622_837,n02109047_1158
n04044716_101,n04258138_16021
n04335435_8789,n04487081_9803
n12144580_4846,n13133613_8384
n02114367_7217,n02114548_5080
n02988304_7375,n04392985_4410
n01753488_8828,n01756291_13977
n03017168_62813,n03447721_48546
n01740131_10556,n01751748_13213
n02769748_4745,n04235860_913
n02966687_3755,n03995372_3856
n03710637_1751,n03710721_3822
n02999410_93,n03532672_129
n02097209_2152,n02110627_6944
n03633091_13820,n04596742_4274
n02114367_18090,n02114548_7576
n03775546_7851,n04270147_17660
n02895154_29740,n03146219_8138
n02094114_1841,n02094258_2973
n02804610_20854,n03838899_34225
n02106030_10642,n02106166_4364
n01797886_8006,n01798484_3369
n02169497_3842,n02259212_3594
n01753488_10852,n01756291_17438
n02105056_5700,n02105056_785
n01753488_5338,n01756291_8423
n02093256_912,n02093428_1195
n02669723_4706,n03787032_4573
n02797295_13598,n04208210_10880
n02093256_13471,n02093428_18295
n01729977_683,n01749939_283
n03773504_19674,n04008634_19102
n02114367_13818,n02114548_9763,n02114855_14938
n02979186_2513,n04392985_1799
n02093256_6177,n02093428_8454
n03710637_9531,n03710721_19892
n01753488_11001,n01756291_18128
n01728572_5452,n01737021_14397
n03124043_8000,n04200800_21573
n02395406_7758,n02396427_4518
n03908714_2936,n04118776_26143
n01753488_10647,n01756291_17011
n02094114_4174,n02096437_4083
n03773504_7432,n04008634_14056
n03017168_28236,n03447721_16417
n03773504_23177,n04008634_21989
n03983396_4790,n04525305_11743
n12144580_680,n13133613_1217
n01697457_762,n01698640_751
n03710637_782,n03710721_1757
n02412080_5822,n02415577_7162
n02776631_16373,n07697313_7660
n02783161_23372,n06785654_14368
n02966687_5789,n03995372_5999
n03534580_8364,n03866082_3593
n03691459_59084,n04041544_26686
n02895154_16774,n03146219_7627
n03724870_3131,n04229816_1126
n01755581_4281,n01756291_14902
n03710637_10563,n03710721_21662
n03710637_5358,n03710721_2102
n03388183_2720,n12768682_4858
n02095314_3189,n02095314_3227
n01734418_229,n01740131_225
n03032252_86129,n03529860_1910
n02795169_62117,n04049303_9287
n12144580_1529,n13133613_2743
n02268443_1241,n02268853_193
n02412080_5004,n02415577_6196
n02256656_41126,n02259212_6879
n01753488_51,n01756291_106
n02487347_1552,n02489166_667
n02107908_10537,n02108000_5715
n03180011_7364,n03782006_20609
n02097130_1468,n02097209_320
n03691459_48525,n03832673_15126
n02808440_2685,n04493381_1652
n02895154_15117,n03146219_196
n03141823_11997,n04485082_19612
n04447861_7704,n15075141_23907
n01983481_19880,n01985128_49698
n04209133_8293,n04371430_11901
n01682714_4863,n01693334_12841
n01675722_10679,n01685808_4341
n01797886_16094,n01807496_13262
n02116738_5451,n02117135_9642
n02113624_263,n02113799_215
n02797295_9710,n07693725_4688
n02097047_1745,n02097209_1095
n03133878_10059,n07590611_16979
n02403003_17813,n03868242_1450
n04127249_2420,n04423845_3678
n02106030_3524,n02106166_1442
n03110669_62039,n03394916_28528
n04204238_5484,n04204347_7047
n03782006_13210,n04152593_37728
n13037406_3440,n13044778_4901
n02107908_9131,n02108000_4451
n02395406_12505,n02396427_46609
n02097658_4201,n02097658_8018
n02089973_1346,n02091244_1824
n01773549_985,n01773797_8576
n01795545_4755,n01798484_6691
n02669723_6399,n03787032_6036
n12144580_12576,n13133613_21762
n01978287_9759,n01981276_17189
n02395406_28318,n02396427_16758
n02137549_10926,n02138441_2458
n02091635_3546,n02093647_2677
n03782006_6942,n04152593_28607
n02483362_9939,n02483708_3629,n02493509_13763
n02123045_1055,n02123159_652
n03782006_7653,n04152593_29593
n04026417_44306,n04548362_76047
n02107908_11730,n02108000_6863
n01797886_10175,n01807496_8463
n03187595_15664,n03902125_9320
n03782006_12848,n04152593_37210
n02119789_12520,n02120505_19259
n03908618_16819,n03908714_6216
n01797886_12582,n01807496_10459
n01682714_2062,n01693334_1844
n02403003_142,n03868242_2500
n02114712_3696,n02114855_6074
n02104365_4190,n02104365_5670
n03710637_3380,n03710721_7206
n01797886_4973,n01807496_4168
n02790996_10901,n03255030_10309
n01740131_12264,n01753488_1720
n02808440_3553,n04493381_2178
n01773549_741,n01774384_2634
n03710637_1056,n03710721_2321
n02094114_8498,n02094258_7013
n03290653_7579,n04404412_4926
n02104029_7478,n02108551_11895
n02097474_3399,n02108551_2438
n02091134_6086,n02091831_4388
n02091467_3569,n02110185_7346
n03710637_7446,n03710721_9366
n02094114_4250,n02094433_7258
n02808440_4472,n04493381_2709
n02992211_5309,n04536866_9391
n02443114_4566,n02443484_4023
n02442845_2477,n02443114_3469,n02443484_3060
n03481172_13432,n04040759_13338
n01755581_11817,n01756291_14609
n01753488_1607,n01756291_2628
n02412080_9836,n02415577_12289
n02106030_5560,n02106166_2280
n02107908_11659,n02108000_6802
n03733131_2005,n03976657_5308
n03443371_17308,n07892512_29730
n03642806_22907,n03832673_6601
n01630670_4724,n01631663_4120
n03017168_31728,n03447721_18465
n02808440_27631,n04493381_3821
n01773157_2585,n01773797_2749
n01632458_960,n01632777_2416
n01729977_3766,n01749939_1421
n02443114_2658,n02443484_2324
n02109961_13629,n02110185_6432
n03496892_13248,n04465501_13231
n03710637_1490,n03710721_3267
n03782006_8092,n04152593_30233
n02168699_10122,n02169497_10239
n01580077_741,n01582220_572
n04239074_2475,n04550184_5364
n02895154_28085,n03146219_20851
n02119022_30662,n02119789_17123
n02088466_7462,n02090379_3300
n02895154_13666,n03146219_6270
n03773504_4661,n04008634_4488
n02114367_16860,n02114548_3865
n02128385_15328,n02128757_5830
n02107908_12354,n02108000_2259
n02690373_6314,n04592741_7309
n03180011_8626,n03793489_6251
n03773504_21735,n04008634_20787
n02492660_16679,n02493509_12196
n01773157_4215,n01773797_4417
n01753488_5924,n01756291_9319
n02106030_5773,n02106166_2363
n01740131_19025,n01744401_5833
n03995372_7322,n04004767_13419
n03773504_12508,n04008634_25018
n02412080_7797,n02415577_9698
n03220513_4487,n03956157_9833
n03637318_3789,n04380533_1841
n02097130_9348,n02106382_7412
n02441942_20914,n02442845_22043
n01729322_17,n01753488_15
n01797886_19728,n01807496_21472
n02113978_1069,n02113978_3474
n04041544_27479,n04392985_6140
n03773504_1440,n04008634_16440
n02107574_5088,n02108000_5743
n01630670_3300,n01631663_3978
n02422699_5872,n02423022_5124
n01675722_7385,n01685808_9135
n03179701_5554,n03337140_8836
n01751748_4035,n02526121_5187
n02094114_6842,n02094258_5623
n02749479_80,n04090263_148
n03773504_1373,n04008634_1332
n02099267_5643,n02099429_1443
n03908618_17551,n04116512_25450
n02114548_6514,n02120079_7518
n02804610_19679,n03838899_32611
n02412080_17501,n02415577_21974
n02093256_3775,n02093428_5132
n03450230_24636,n10148035_3638
n03782006_4161,n04152593_24651
n03976657_24770,n04458633_12150
n02113978_1632,n02113978_2572
n07716906_5062,n07717410_8121
n13037406_2429,n13052670_4320
n02412080_4974,n02415577_6162
n02978881_6317,n02979186_4690,n04392985_3445
n01667778_5810,n01669191_4732
n02795169_50907,n04049303_8424
n02749479_2417,n04090263_28445
n01773157_5799,n01773797_6104
n03180011_2755,n03832673_14964
n02097130_5952,n02097209_5061
n02095570_873,n02108915_1757
n01728572_3801,n01735189_5864
n02115641_9517,n02115913_2949
n01797886_11924,n01807496_9917
n04239074_2772,n04589890_6981
n04356056_77897,n04584207_33794
n02808440_6657,n04493381_4020
n03773504_13734,n04008634_26031
n03063689_5767,n04560804_7048
n02093256_4352,n02093428_5949
n03773504_16558,n04008634_16517
n03782006_2862,n04152593_22742
n01629819_20978,n01632458_5930
n02749479_3678,n04090263_6988
n02085936_5171,n02095889_1259
n02361337_8210,n02363005_29480
n01677366_12837,n01685808_3476
n01753488_11023,n01756291_18219
n01753488_4384,n01756291_6963
n02106550_6753,n02106662_13548
n02412080_4242,n02415577_5211
n01729977_6796,n01749939_2616
n03773504_16067,n04008634_16138
n02128385_18563,n02128925_35648
n02412080_4484,n02415577_5548
n03773504_15862,n04008634_15951
n03450230_28223,n10148035_6939
n01629819_9787,n01630670_5255
n02091134_1405,n02091831_999
n03933933_31376,n04311004_1025
n03773504_1540,n04008634_16504
n04209133_7931,n04209239_8763
n02102318_11308,n02102480_2752
n02025239_15083,n02033041_12165
n02493509_5521,n02494079_5464
n03729826_2268,n04456115_18078
n01755581_10244,n01756291_3395
n01773549_2835,n01774384_9480
n02086240_2577,n02098413_4189
n02085782_1568,n02094433_2525,n02098286_2136
n02095314_3509,n02095570_6443
n02114712_9674,n02115913_3156
n01753488_2800,n01756291_4450
n02096294_7239,n02097658_620
n02096294_2734,n02097658_8029
n13044778_5297,n13052670_6671
n02486261_6806,n02490219_5110
n01797886_4857,n01807496_4085
n02484975_2879,n02492660_7257,n02500267_4745
n02099429_1844,n02102973_2380
n02106030_7109,n02106166_2926
n02119022_10538,n02119789_5522
n01797886_7080,n01807496_5954
n01917289_3771,n09256479_1842
n03535780_1119,n03888605_25240
n01753488_9368,n01756291_14879
n02109961_6808,n02114548_4474
n02790996_512,n03255030_453
n02066245_3296,n02071294_8672
n03773504_16616,n04008634_16568
n02749479_5663,n04090263_10766
n02892767_17819,n03476991_8535
n03535780_12142,n03888605_2973
n02085782_4894,n02086646_4299,n02102177_3336
n02342885_11526,n07714990_8640
n02116738_8265,n02117135_14556
n02412080_6395,n02415577_2908
n02791124_2435,n02791270_6915
n02112706_1568,n02112706_539
n02395406_15784,n02396427_9301
n02119022_10296,n02119789_6908
n03710637_2155,n03710721_3567
n02095570_9290,n02108915_2941
n03642806_6389,n03832673_13910
n02107574_5112,n02107908_10605,n02108000_5773
n03782006_5671,n04152593_26847
n03179701_3001,n03793489_1694
n02106030_16281,n02113186_11326
n02395406_59488,n02396427_33738
n02395406_3804,n02396427_2154
n03924679_11321,n04004767_10737
n02107574_6193,n02108000_7068
n02119022_6403,n02119789_3404,n02120505_5546
n02105855_11429,n02106030_11342
n02443114_12900,n02443484_11368
n02749479_2615,n04090263_4983
n01797886_10345,n01807496_8614
n02690373_5104,n04592741_5987
n01755581_13642,n01756291_16959
n02791124_7174,n02791270_20341
n02441942_7606,n02442845_25609,n02443484_8948
n02114712_15358,n02115913_13956
n02093256_6816,n02093428_9332
n02422699_3609,n02423022_3175
n01682714_10219,n01693334_8908
n01797886_940,n01807496_808
n03782006_3422,n04152593_23560
n01774384_2121,n02256656_2274
n03868863_498,n04336792_581
n02823428_1767,n02823750_1796
n02669723_4,n03787032_4
n02895154_26090,n03146219_3699
n01667114_2792,n01667778_6877
n01753488_11011,n01756291_18166
n02107908_10277,n02108000_5505
n01914609_10952,n02607072_3680
n03773504_6329,n04008634_160
n02412080_7252,n02415577_9006
n03095699_8392,n03673027_9302
n03983396_18351,n04525305_20500
n02097047_7598,n02098105_4099
n02666196_11807,n03676483_7438
n03908714_3458,n04116512_13783
n01667114_1914,n12985857_1833
n01753488_7218,n01756291_11375
n04041544_3992,n04392985_9045,n04404412_2423
n04009552_17206,n04286575_39169
n03773504_8990,n04008634_11471
n03482405_25868,n03950228_30231
n01773157_1581,n01773797_1635
n02808440_1209,n04493381_762
n02999410_12213,n03000247_26921
n02110185_11017,n03218198_2518
n01729977_11779,n01739381_3760
n01751748_782,n02526121_4556
n04201297_132,n04239074_240
n02165105_957,n02167151_1050
n02749479_2771,n04090263_5292
n01753488_2285,n01756291_3603
n02114712_12010,n02114855_41510
n03773504_1199,n04008634_16258
n02165105_9302,n02167151_8521
n02395406_7729,n02396427_4495
n12144580_19676,n13133613_34522
n13037406_3394,n13044778_4861,n13052670_6077
n02883205_6266,n04317175_2487
n03773504_4282,n04008634_4108
n01797886_13971,n01807496_1960
n02492035_718,n02493509_328,n02493793_464
n01797886_5568,n01807496_4679
n02441942_21400,n02443114_14652
n02093256_1583,n02093428_2141
n02676566_11293,n03272010_491
n02443114_4751,n02443484_4173
n03773504_14189,n04008634_26394
n01978455_4241,n01986214_8225
n01514668_22136,n01514859_10416
n03710637_1194,n03710721_2590
n03908714_2331,n04116512_9260
n03710637_2906,n03710721_6244
n04560804_11141,n04579145_2571
n01871265_4215,n02504458_6713
n01629819_727,n01632458_343
n12144580_2344,n13133613_4222
n07716358_8849,n07718472_7755
n03496892_6835,n04428191_6806
n03220513_15353,n03956157_1403
n01797886_6018,n01807496_5064
n02087046_4387,n02094433_3171
n03773504_708,n04008634_662
n02979186_4265,n02988304_4467
n03710637_8291,n03710721_17672
n02981792_3705,n04147183_3990
n02708093_7044,n04328186_33234
n01734418_2123,n01740131_2110
n12144580_410,n13133613_699
n02119022_2875,n02119789_1579
n03773504_1740,n04008634_16646
n02403003_8881,n03868242_8368
n03782006_13794,n04152593_38564
n03017168_66729,n03447721_50485
n07614500_98020,n07836838_11056
n01797886_11083,n01807496_9216
n02395406_884,n02396427_17336
n03782006_36350,n04152593_69356
n02104029_1064,n02106662_2163
n02094114_5382,n02094258_1113
n01728572_24982,n01728920_18959
n02395406_7301,n02396427_803
n02799071_30794,n09835506_3134
n03773504_10205,n04008634_10194
n03887697_4735,n15075141_1763
